Grade,Grad Year,School,Major,Major Type,STEM?,Credits,Grades,Hours/Day Studying,Hours/Day HW,Hours/Day Free Time,Hours Sleep Weekday,Hours Sleep Weekend,Daily Stress (1-10),Stress Effects,Biggest Stressor
Freshman,2026,QST,Business Administration,Business,Non-STEM,16,Mostly A’s,3-4,1-2,3-4,4-6,7-9,6,"Physical, Mental",Work - Study - Life balance
Freshman,2026,CDS,Data Science,STEM,STEM,16,Mostly A’s,1-2,1-2,3-4,4-6,10+,5,"Physical, Emotional, Mental, Social",Grades
Freshman,2026,CDS,Data Science,STEM,STEM,16,Mostly A’s,4-5,3-4,5+,7-9,7-9,7,"Emotional, Mental",Self-Imposed Pressure
Freshman,2026,CDS,Data Science,STEM,STEM,17,All A’s,1-2,1-2,3-4,4-6,7-9,8,"Emotional, Mental",Relationship with other students
Junior,2024,CDS,Data Science,STEM,STEM,16,Mostly B’s,<1,1-2,3-4,7-9,7-9,4,"Physical, Emotional",Classwork and/or rigor of classes
Freshman,2026,QST,Finance,Business,Non-STEM,17,All A’s,1-2,3-4,3-4,7-9,7-9,5,Emotional,Self-Imposed Pressure
Freshman,2026,CAS,Neuroscience,STEM,STEM,16,Mostly A’s,4-5,1-2,3-4,4-6,7-9,8,"Physical, Emotional, Mental, Social",Classwork and/or rigor of classes
Freshman,2026,SAR,Physical Therapy,Health and Medicine,Non-STEM,17,Mostly B’s,4-5,3-4,1-2,7-9,7-9,9,"Physical, Emotional, Mental",Grades
Freshman,2026,QST,Finance,Business,Non-STEM,16,Mostly A’s,3-4,1-2,1-2,7-9,7-9,8,"Physical, Emotional",Grades
Freshman,2026,CAS,Political Science,Arts and Humanities,Non-STEM,17,All A’s,1-2,3-4,5+,4-6,10+,1,"Mental, Social",Relationships with friends
Freshman,2026,CDS,Data Science,STEM,STEM,18,All A’s,1-2,3-4,1-2,4-6,7-9,5,"Physical, Social",Classwork and/or rigor of classes
Freshman,2026,Wheelock,Deaf Studies,Multi-Interdisciplinary Studies,Non-STEM,20,Mostly A’s,1-2,1-2,1-2,4-6,7-9,7,Emotional,Relationships with friends
Freshman,2026,Wheelock,Education,Public and Social Services,Non-STEM,18,All A’s,1-2,4-5,1-2,4-6,4-6,7,"Physical, Emotional, Mental, Social",Self-Imposed Pressure
Freshman,2026,CDS,Data Science,STEM,STEM,16,Mostly A’s,1-2,3-4,4-5,7-9,7-9,4,Social,Work - Study - Life balance
Freshman,2026,CDS,Data Science,STEM,STEM,16,Mostly A’s,<1,1-2,4-5,7-9,7-9,4,"Physical, Social",Self-Imposed Pressure
Freshman,2026,CAS,Undeclared,Multi-Interdisciplinary Studies,Non-STEM,16,Mostly A’s,3-4,1-2,3-4,4-6,7-9,7,"Mental, Social",Relationships with friends
Freshman,2026,CAS,Biology,STEM,STEM,16,Mostly A’s,3-4,1-2,4-5,7-9,7-9,6,"Emotional, Social",Grades
Freshman,2026,CAS,Undeclared,Business,Non-STEM,16,Mostly B’s,1-2,1-2,3-4,4-6,7-9,5,"Emotional, Mental, Social",Work - Study - Life balance
Freshman,2026,ENG,Biomedical Engineering,STEM,STEM,12,Mostly C’s,4-5,3-4,1-2,4-6,7-9,10,"Physical, Emotional, Mental, Social",Work - Study - Life balance
Freshman,2026,QST,Finance,Business,Non-STEM,18,Mostly B’s,3-4,1-2,3-4,7-9,7-9,5,"Physical, Emotional, Mental, Social",Relationships with friends
Sophomore,2025,CDS,Data Science,STEM,STEM,16,All A’s,1-2,<1,1-2,4-6,7-9,2,N/A,Relationships with friends
Freshman,2026,ENG,Biomedical Engineering,STEM,STEM,16,Mostly A’s,<1,1-2,1-2,7-9,10+,6,Mental,Work - Study - Life balance
Freshman,2026,CDS,Data Science,STEM,STEM,16,Mostly A’s,3-4,1-2,3-4,4-6,7-9,7,"Emotional, Social",Self-Imposed Pressure
Freshman,2026,CDS,Data Science,STEM,STEM,19.5,Mostly A’s,<1,1-2,3-4,4-6,10+,8,"Physical, Emotional, Mental",Classwork and/or rigor of classes
Sophomore,2025,CAS,Psychology,Arts and Humanities,Non-STEM,16,All A’s,1-2,4-5,3-4,7-9,7-9,7,"Emotional, Mental",Work - Study - Life balance
