"Timestamp","What grade are you currently enrolled in? ","What is your expected graduation year?","Which school are you enrolled in?","What is your major? ","How would you describe your major?","How many credits are you taking this semester? (number answer)","During the current semester, how would you describe your grades? (90+ is an A, 80-89 is a B, 70-79 is a C, 65-69 is a D, below 65 is a F) ","On average, how many hours a day do you spend studying for tests, exams, quizzes, etc?","On average, how many hours a day do you spend purely on completing homework?","How much free time do you have per day on average outside of academics?","How many hours of sleep do you get per night on a weekday on average?","How many hours of sleep do you get per night on a weekend on average?","On a scale of 1-10, how stressed do you think you are on a daily basis?","How does stress affect you?","Out of the following, which do you think causes the MOST stress in your life?"
"2022/11/17 5:50:37 PM AST","Freshman","2026","QST","business administration ","Business","16","Mostly A’s","3-4 hrs","1-2 hrs","3-4 hrs","4-6 hrs","7-9 hrs","6","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Work - Study - Life balance"
"2022/11/17 5:54:42 PM AST","Freshman","2026","CDS","Data Science","Science, Technology, Engineering, and Math (STEM)","16","Mostly A’s","1-2 hrs","1-2 hrs","3-4 hrs","4-6 hrs","10+ hrs","5","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Grades"
"2022/11/17 5:54:52 PM AST","Freshman","2026","CDS","Data Science ","Science, Technology, Engineering, and Math (STEM)","16","Mostly A’s","4-5 hrs","3-4 hrs","5+ hrs","7-9 hrs","7-9 hrs","7","Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Self-Imposed Pressure"
"2022/11/17 5:56:26 PM AST","Freshman","2026","CDS","Data science ","Science, Technology, Engineering, and Math (STEM)","17","All A’s","1-2 hrs","1-2 hrs","3-4 hrs","4-6 hrs","7-9 hrs","8","Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation)","Relationship with other students"
"2022/11/17 5:58:54 PM AST","Junior","2024","CDS","Data science","Science, Technology, Engineering, and Math (STEM)","16","Mostly B’s","< 1 hr","1-2 hrs","3-4 hrs","7-9 hrs","7-9 hrs","4","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic)","Classwork and/or rigor of classes"
"2022/11/17 5:59:18 PM AST","Freshman","2026","QST","finance","Business","17","All A’s","1-2 hrs","3-4 hrs","3-4 hrs","7-9 hrs","7-9 hrs","5","Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic)","Self-Imposed Pressure"
"2022/11/17 6:02:18 PM AST","Freshman","2026","CAS","Neuroscience","Science, Technology, Engineering, and Math (STEM)","16","Mostly A’s","4-5 hrs","1-2 hrs","3-4 hrs","4-6 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Classwork and/or rigor of classes"
"2022/11/17 6:02:38 PM AST","Freshman","2026","SAR","Physical Therapy ","Health and Medicine","17","Mostly B’s","4-5 hrs","3-4 hrs","1-2 hrs","7-9 hrs","7-9 hrs","9","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);I’ve gotte super sick which is often a result of weakened immune systems as a response to increased stress ","Grades"
"2022/11/17 6:09:38 PM AST","Freshman","2026","QST","Finance","Business","16","Mostly A’s","3-4 hrs","1-2 hrs","1-2 hrs","7-9 hrs","7-9 hrs","8","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic)","Grades"
"2022/11/17 6:13:20 PM AST","Freshman","2026","CAS","Political Science","Arts and Humanities","17","All A’s","1-2 hrs","3-4 hrs","5+ hrs","4-6 hrs","10+ hrs","1","Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Relationships with friends"
"2022/11/17 6:16:15 PM AST","Freshman","2026","CDS","Data science","Science, Technology, Engineering, and Math (STEM)","18","All A’s","1-2 hrs","3-4 hrs","1-2 hrs","4-6 hrs","7-9 hrs","5","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Classwork and/or rigor of classes"
"2022/11/17 6:17:23 PM AST","Freshman","2026","Wheelock","Deaf Studies ","Multi-Interdisciplinary Studies","20","Mostly A’s","1-2 hrs","1-2 hrs","1-2 hrs","4-6 hrs","7-9 hrs","7","Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic)","Relationships with friends"
"2022/11/17 6:29:50 PM AST","Freshman","2026","Wheelock","Education","Public and Social Services","18","All A’s","1-2 hrs","4-5 hrs","1-2 hrs","4-6 hrs","4-6 hrs","7","Physical (e.g. headaches, nausea, appetite change, raised heartbeat);Emotional  (e.g. anxiety, agitation, frustration, depression, overwhelmed, panic);Mental (e.g. lack of concentration, memory problems, increased negativity, no motivation);Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Self-Imposed Pressure"
"2022/11/17 6:32:46 PM AST","Freshman","2026","CDS","Data Science","Science, Technology, Engineering, and Math (STEM)","16","Mostly A’s","1-2 hrs","3-4 hrs","4-5 hrs","7-9 hrs","7-9 hrs","4","Social (e.g. social withdrawal, social anxiety, aggressive behavior, personality change)","Work - Study - Life balance"
